,fund_code,fund_name,fund_type,fund_size_in_M,spk_risk_level,1M_return,3M_return,6M_return,YTD_return,1Y_return,3Y_return,5Y_return,real_1y_return,sharpe,max_loss,annual_fee,charter_annual_fee,annual_net_return,annual_max_total_expense_ratio
767,KIH,KARE PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,113.37,7,2.3656,7.9401,,,,,,,,,4.0,4.0,0.0,
768,KKC,KARE PORTFÖY KATILIM SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,190.77,7,0.8785,8.4829,,,,,,,,,0.5,0.5,0.0,
769,KP3,KARE PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,10.58,7,0.9316,7.9947,,,,,,,,,0.5,0.5,0.0,
770,KYS,KARE PORTFÖY YEDİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,212.64,7,4.039,,,,,,,,,,0.5,0.5,0.0,
771,KUA,KUVEYT TÜRK PORTFÖY AGRESİF KATILIM FONU,Katılım Şemsiye Fonu,366.67,3,8.1029,,,,,,,,,,2.5,2.5,0.0,
772,KDE,KUVEYT TÜRK PORTFÖY DENGELİ KATILIM FONU,Katılım Şemsiye Fonu,101.8,3,4.0076,,,,,,,,,,1.75,1.75,0.0,
773,KUD,KUVEYT TÜRK PORTFÖY DİNAMİK KATILIM FONU,Katılım Şemsiye Fonu,57.05,3,4.821,,,,,,,,,,2.0,2.0,0.0,
774,KGM,KUVEYT TÜRK PORTFÖY GÜMÜŞ KATILIM FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,505.68,4,4.6728,19.0172,32.6901,48.198,,,,,,,1.8,1.8,0.0,
775,KPA,KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,372.19,6,6.7289,14.7987,17.4896,14.6524,,,,,,,2.75,2.75,0.0,
776,KPD,KUVEYT TÜRK PORTFÖY KAR PAYI ÖDEYEN KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,164.52,7,3.1679,6.9746,14.1187,16.1159,,,,,,,0.8,0.8,0.0,
777,KME,KUVEYT TÜRK PORTFÖY TEMKİNLİ KATILIM FONU,Katılım Şemsiye Fonu,90.89,3,3.7779,,,,,,,,,,1.4,1.4,0.0,
778,MKA,MARMARA CAPİTAL PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,80.01,6,5.7457,14.4022,12.8596,,,,,,,,2.68,2.68,0.0,
779,MHF,MT PORTFÖY BIST HALKA ARZ ŞİRKETLERİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,13.97,6,12.9921,29.3533,,,,,,,,,2.625,0.0,0.0,
780,MBR,MT PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,11.07,2,3.3009,10.8365,,,,,,,,,1.3125,0.0,0.0,
