,fund_code,fund_name,fund_type,fund_size_in_M,spk_risk_level,1M_return,3M_return,6M_return,YTD_return,1Y_return,3Y_return,5Y_return,real_1y_return,sharpe,max_loss,annual_fee,charter_annual_fee,annual_net_return,annual_max_total_expense_ratio
0,TLY,TERA PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,14910.0,7,49.3137,119.4462,491.438,1165.1468,4577.153,53559.0468,,3402.96,6.4795,23.2366,0.0,2.0,4651.89,0.0
1,ZJI,ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,12930.0,6,3.2468,8.3334,50.1332,66.7425,240.0395,582.5122,,154.67,3.8664,10.6828,0.1,0.1,242.51,0.0
2,ZJB,ZİRAAT PORTFÖY BİRİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,15960.0,6,3.5983,6.5784,45.1031,62.2819,230.3955,561.8631,,147.45,3.7332,10.5744,0.1,0.1,232.55,0.0
3,IIE,İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON,Serbest Şemsiye Fonu,3660.0,6,15.3333,22.8131,75.0319,93.7093,139.1095,,,79.08,2.6687,26.7621,3.150315,3.150315,136.2,
4,DDF,DENİZ PORTFÖY DİNAMO SERBEST FON,Serbest Şemsiye Fonu,660.35,5,0.5901,10.7417,64.4218,61.2514,121.2601,389.0837,567.109,65.71,2.3252,14.2389,0.6,0.6,118.11,0.0
5,BDC,AURA PORTFÖY BODRUM SERBEST FON,Serbest Şemsiye Fonu,418.27,7,7.8225,36.6268,54.7874,65.4332,116.2171,547.7816,,61.94,,,0.7,0.7,114.31,0.0
6,RTP,RE-PIE PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,2080.0,4,6.7001,16.6423,33.1244,41.9659,104.8662,716.3151,,53.43,4.9833,5.5685,2.0,2.0,105.01,0.0
7,HGV,HEDEF PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,351.41,7,2.07,46.4792,45.5111,66.9928,99.7654,398.324,,49.61,1.9791,23.6372,2.0,2.0,98.29,
8,BDS,PARDUS PORTFÖY BIST 30 DIŞI ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,1640.0,6,8.4445,17.9375,67.2495,71.4597,94.1952,,,45.44,3.8703,13.0068,1.0,0.0,92.98,
9,KLH,ATLAS PORTFÖY KATILIM HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,444.21,6,18.2979,19.1114,34.5216,54.2306,93.0898,,,44.61,1.6821,16.3615,1.5,0.0,91.41,
10,NAU,NEO PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,1770.0,6,3.0583,5.8677,30.6068,46.362,90.9021,,,42.98,3.8574,6.6416,1.8,1.8,91.27,
11,ZCD,ZİRAAT PORTFÖY ALTINCI SERBEST (TL) FON,Serbest Şemsiye Fonu,1550.0,6,5.0373,23.4973,30.1942,37.4415,88.8783,,,41.46,4.2417,7.5353,0.5,0.5,90.01,0.0
12,BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,454.09,6,7.8785,25.8592,43.8852,45.5388,87.1509,,,40.17,4.8587,8.833,2.0,0.0,86.83,
13,GBV,GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,1840.0,6,3.6761,37.1101,29.1383,37.847,81.5526,417.0823,,35.97,2.6526,21.7786,2.7,2.7,81.49,3.65
14,HAM,HEDEF PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,448.68,6,2.8216,4.3006,32.1747,45.9082,79.9185,,,34.75,3.7092,7.5681,1.5,1.5,81.3,
15,TMM,TERA PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,630.12,6,2.4873,6.5618,46.1698,57.8074,78.8532,,,33.95,4.5682,0.9843,2.5,2.5,78.15,0.0
16,IOG,İŞ PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,5370.0,7,5.268,21.027,33.6977,50.007,75.4777,315.1163,,31.42,2.5533,14.016,2.5,2.5,77.13,
17,IJB,İŞ PORTFÖY DİJİTAL OYUN SEKTÖRÜ KARMA FON,Karma Şemsiye Fonu,284.75,6,6.5827,17.3631,33.7086,42.5857,74.802,252.0787,,30.92,3.9009,9.0753,2.75,0.0,74.63,3.65
18,MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,Kıymetli Madenler Şemsiye Fonu,1050.0,6,3.5011,6.5624,36.7535,46.4005,74.5865,347.3087,862.9192,30.76,3.9913,5.7021,1.5,1.5,74.81,2.19
19,YZC,YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,584.2,5,4.2919,26.0897,25.8012,34.3176,74.4611,256.5427,,30.66,2.7945,16.1389,3.0,3.0,71.73,3.65
20,IVY,İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,955.44,6,3.6969,29.896,24.1021,28.3799,74.0641,311.2258,,30.37,2.154,24.2375,2.5,0.0,74.42,3.65
21,TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,41210.0,6,2.7919,2.801,39.172,44.9297,73.948,322.4054,821.4574,30.28,3.3645,6.474,1.2,1.2,75.22,2.19
22,FJB,FİBA PORTFÖY BLOK ZİNCİRİ TEKNOLOJİLERİ SERBEST FON,Serbest Şemsiye Fonu,453.3,7,5.7067,31.4758,29.4564,34.6191,73.5228,285.7296,,29.96,2.7758,20.0041,2.92,2.92,72.22,0.0
23,JET,ATA PORTFÖY HAVACILIK VE SAVUNMA TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,857.66,6,4.9689,18.1445,43.998,54.0119,73.298,,,29.79,3.4251,8.5813,2.5,2.5,68.11,
24,NJF,NUROL PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,600.29,6,2.8791,5.675,34.3771,45.5456,72.2844,329.0728,,29.03,3.4279,6.0263,1.0,1.0,73.51,2.19
25,FDG,FONMAP PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,1320.0,4,8.3817,19.479,36.6271,42.2607,72.2779,,,29.03,6.6582,2.923,1.5,1.5,73.32,
26,OJK,QNB PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,23760.0,6,3.4681,4.6682,31.8254,44.2702,72.1984,321.5677,,28.97,3.5278,6.577,1.85,1.85,72.89,2.19
27,YKT,YAPI KREDİ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,21480.0,6,2.6625,4.4384,33.1353,42.6872,72.1432,331.077,797.7734,28.93,3.2309,9.7054,2.0075,2.01,73.25,2.19
28,RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,Katılım Şemsiye Fonu,1320.0,6,2.55,4.1122,35.3159,48.8956,71.6855,300.2044,691.4082,28.58,3.4615,7.5019,1.0,1.0,73.08,2.19
29,TUA,TEB PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,8130.0,6,2.9163,4.0441,33.6895,42.8127,71.5649,315.2925,778.5323,28.49,3.39,6.7651,1.83,1.83,71.78,2.19
30,ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,698.11,6,5.9356,20.9345,27.1701,36.03,71.4613,287.1453,,28.42,2.7324,13.5158,2.9,2.9,70.24,3.65
31,BTE,BV PORTFÖY OYUN VE TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,347.57,6,5.8214,22.5705,31.3454,36.633,70.9474,,,28.03,3.2519,12.6259,2.5,2.5,68.89,3.65
32,RIK,RE-PIE PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,1560.0,3,5.6502,15.155,35.2678,43.8325,70.4794,,,27.68,9.4097,1.5664,1.25,1.25,71.16,3.65
33,PAF,PARDUS PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,245.97,6,3.1633,-2.3316,32.2826,42.0355,70.4151,,,27.63,3.5449,9.4876,1.0,0.0,71.7,
34,GGK,INVEO PORTFÖY ALTIN FON,Kıymetli Madenler Şemsiye Fonu,2300.0,6,2.5294,3.8003,30.5561,40.9024,69.9898,347.2561,,27.31,3.3057,7.048,1.5,1.5,71.0,2.19
35,HBF,HSBC PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,2880.0,6,2.6911,4.8034,33.7346,47.5647,69.5201,306.1591,733.0929,26.96,3.3103,7.679,1.8,1.8,70.6,2.19
36,GTZ,GARANTİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,5020.0,7,4.4092,19.7142,32.7876,48.6036,69.427,281.52,,26.89,2.6066,12.1317,2.9,2.9,70.94,4.38
37,FIB,FİBA PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,3200.0,6,2.7314,3.7676,33.4588,43.5786,69.3198,306.5716,763.5674,26.81,3.0464,7.1141,1.5,1.5,70.66,2.19
38,FBV,İŞ PORTFÖY MODEL SERBEST FON,Serbest Şemsiye Fonu,532.03,6,4.7281,20.7328,17.9829,26.941,69.0433,273.3553,,26.61,2.8211,18.2694,1.2,0.0,65.2,
39,KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,42220.0,6,3.1655,4.8661,33.1714,47.0428,68.9004,348.708,840.7625,26.5,2.761,8.825,0.3,0.3,70.36,2.19
40,MJG,AKTİF PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,659.25,6,5.3159,20.2314,34.937,50.7982,68.7678,306.5712,,26.4,2.4287,12.4058,2.0,2.0,71.16,4.38
41,DBA,DENİZ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,5260.0,6,2.5907,4.0586,30.5523,42.4515,68.5305,303.3485,755.2683,26.22,3.1244,9.7256,2.0,0.0,69.49,2.19
42,ICA,ICBC TURKEY PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,620.66,6,2.5309,3.8103,31.7679,42.6631,67.8654,303.413,734.8483,25.72,3.113,6.926,1.75,1.75,68.84,2.19
43,YZG,YAPI KREDİ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,5410.0,7,4.6659,19.4721,31.3948,46.7659,67.7651,305.6814,,25.65,2.513,13.1877,2.01,2.01,70.11,4.38
44,RUT,BV PORTFÖY ROBOTİK VE UZAY TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,92.27,6,4.906,24.7556,32.5608,39.1288,67.6458,,,25.56,3.1564,14.0992,2.5,2.5,66.2,
45,PPS,PHİLLİP PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,267.57,6,3.8815,18.888,27.714,44.5386,67.4318,141.2069,,25.4,2.5876,11.7348,2.5,2.5,66.03,0.0
46,UP1,ÜNLÜ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,705.19,6,2.6018,4.0351,30.3247,39.8549,67.098,,,25.15,3.5028,6.8368,1.8,1.8,68.05,2.19
47,KMF,AZİMUT PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,1130.0,6,3.2463,4.5901,32.0218,43.0993,66.9782,,,25.06,3.8586,6.4317,1.6905,0.0,67.5,
48,DMG,DENİZ PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,886.81,7,4.6195,19.0149,32.8937,47.93,66.7215,280.25,,24.87,2.5645,12.5597,2.0,2.0,68.44,4.38
49,FMG,QNB PORTFÖY GÜMÜŞ SERBEST FON,Serbest Şemsiye Fonu,2710.0,7,4.5745,20.7364,34.7816,48.9736,66.2014,,,24.48,2.6243,12.2281,2.0,2.0,68.59,
50,RJG,RE-PIE PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,79.28,6,2.7895,4.6655,32.0059,44.6173,66.0182,,,24.34,3.1047,7.9239,0.95,0.95,67.34,
51,OTJ,OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,692.32,6,3.5114,16.5882,33.596,47.2756,65.9736,227.7002,,24.31,3.0752,8.908,1.0,0.0,65.87,4.38
52,AFO,AK PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,13480.0,6,2.7459,3.9354,30.8281,44.4274,65.862,294.2779,740.3129,24.22,2.8874,7.1817,2.04,2.04,67.17,2.19
53,TAL,ATLAS PORTFÖY ALTIN KATILIM FONU,Kıymetli Madenler Şemsiye Fonu,43.31,6,1.9946,3.0137,31.02,43.5907,65.7916,,,24.17,3.1421,7.9244,1.5,1.5,66.91,
54,RPG,ROTA PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,340.48,6,2.6159,4.679,32.1376,45.3446,65.7796,272.6874,,24.16,3.5727,7.8457,1.6,0.0,66.69,2.19
55,KUT,KUVEYT TÜRK PORTFÖY KIYMETLİ MADENLER KATILIM FONU,Katılım Şemsiye Fonu,1680.0,6,4.0814,11.8415,32.2015,46.3588,65.7595,292.0703,,24.15,3.2781,9.6823,1.8,1.8,67.12,2.19
56,GMC,TEB PORTFÖY GÜMÜŞ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,1030.0,7,4.6692,19.5295,31.9768,47.0216,65.0279,282.7894,,23.6,2.4555,13.1801,2.19,2.19,67.03,4.38
57,PKF,ATA PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,339.2,6,2.7157,4.3198,31.5072,44.1543,64.6594,,,23.32,2.8293,8.0851,1.0,1.0,65.84,3.65
58,GUM,AK PORTFÖY GÜMÜŞ FON SEPETI FONU,Fon Sepeti Şemsiye Fonu,2980.0,6,4.6302,18.9924,31.8619,46.7107,63.9054,280.1193,,22.76,2.4851,12.7309,2.9,2.9,65.46,4.38
59,BVZ,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,Serbest Şemsiye Fonu,1050.0,2,3.3864,11.5237,24.3634,30.6258,63.3961,,,22.38,23.8518,0.0685,4.2,4.2,63.97,
60,OGD,OYAK PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,531.29,6,2.7695,4.5371,29.8145,42.4303,63.3782,297.0475,,22.36,3.0707,6.9386,1.752,0.0,64.32,2.19
61,AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,Hisse Senedi Şemsiye Fonu,13130.0,6,3.7423,26.1909,24.6135,28.7014,63.1519,295.8681,849.4749,22.19,2.0328,21.9544,2.9,2.9,63.43,3.65
62,LID,ALLBATROSS PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,23.94,4,3.8328,11.7999,37.2344,39.9664,62.9003,,,22.0,3.3575,5.3704,2.0,0.0,63.38,
63,HOA,HSBC PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,864.85,6,4.3763,23.4257,27.5086,34.8844,62.0431,310.2351,686.1933,21.36,2.7089,13.6416,1.752,1.752,60.87,3.65
64,GTA,GARANTİ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,12430.0,6,3.1142,4.8097,35.847,43.756,61.9792,287.4457,725.5507,21.31,2.8693,8.9276,1.95,1.95,62.93,2.19
65,GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,1940.0,6,2.6306,4.6614,29.9915,42.4178,61.9545,,,21.3,2.6825,8.4715,1.95,1.95,63.3,
66,TTA,İŞ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,14670.0,6,2.3269,6.7818,33.3235,40.2774,61.7707,301.9112,751.9222,21.16,3.0206,7.512,1.9,0.0,62.29,2.19
67,HVK,HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,1230.0,2,4.2428,12.9753,26.2631,32.4035,61.5389,232.622,,20.98,28.7886,0.0,2.25,2.25,61.51,3.65
68,KSA,HEDEF PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,7850.0,2,3.9849,12.7747,26.0078,32.0895,61.3769,,,20.86,25.8451,0.0,2.25,2.25,61.34,
69,NJR,NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,1810.0,2,4.1346,12.9857,25.1144,31.3792,61.3242,223.3961,,20.82,19.5045,0.4879,1.85,1.85,61.33,3.65
70,PRU,ALLBATROSS PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,13000.0,2,4.0639,13.1234,26.7695,32.5839,61.1189,,,20.67,25.7498,0.0,0.75,0.0,61.09,1.65
71,BHF,PARDUS PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,169.43,5,5.5135,28.3529,35.8787,37.8614,60.9561,,,20.55,2.742,5.768,2.0,0.0,60.0,
72,RPT,ROTA PORTFÖY İKİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,851.22,2,3.9547,12.1822,25.276,31.0129,60.5114,233.2488,,20.22,29.882,0.0,1.0,0.0,60.55,
73,PPT,ATLAS PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1940.0,2,3.9417,12.609,25.3613,31.3486,60.1883,,,19.97,24.8797,0.057,1.05,1.05,60.17,
74,GO6,FONERİA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,2890.0,1,4.0267,12.6557,25.0045,31.2345,60.1026,,,19.91,24.7715,0.2217,1.25,1.25,60.09,1.65
75,PPN,NUROL PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,19230.0,1,3.9192,12.649,25.396,31.2497,60.0745,218.1778,,19.89,24.4604,0.0618,0.7,0.7,60.04,1.65
76,PRY,PUSULA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,4060.0,2,4.0667,13.055,25.9007,31.7314,59.9193,,,19.77,24.714,0.0053,1.0,1.0,59.91,
77,DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,192710.0,1,3.8466,12.3847,25.3853,31.1839,59.8908,215.2669,,19.75,25.9907,0.0,0.7,0.7,59.85,
78,HYV,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,9660.0,1,3.9496,12.7008,25.0966,31.021,59.7769,219.4229,,19.67,25.0382,0.0318,1.25,1.25,59.75,1.65
79,EIL,QİNVEST PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,2130.0,2,4.2198,12.8462,25.6202,31.3154,59.6878,192.2363,307.5809,19.6,26.3342,0.0336,0.79935,0.79935,59.74,1.28
80,AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,1740.0,2,3.8179,12.3401,24.8243,30.7081,59.636,,,19.56,25.2159,0.0403,1.0,0.0,59.65,0.0
81,OLE,OSMANLI PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,324.68,2,3.9632,12.7784,25.6922,31.6003,59.6313,203.2027,,19.56,26.8388,0.0,0.1,0.1,59.64,4.38
82,HVT,ALLBATROSS PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1790.0,2,4.1053,12.8843,25.4934,31.4191,59.5788,,,19.52,25.8795,0.0,1.25,0.0,59.56,1.65
83,ICV,ICBC TURKEY PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,5.78,2,3.8418,11.3143,23.2757,28.404,59.5672,235.0192,,19.51,14.5116,0.4791,0.75,0.75,59.22,3.65
84,BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,62780.0,1,3.8739,12.454,24.8377,30.7551,59.4549,210.6798,327.6494,19.42,24.8971,0.0799,0.49,0.49,59.41,1.65
85,NRG,NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,5970.0,1,3.9464,12.5041,24.7799,30.7454,59.43,220.4775,,19.41,26.5277,0.0,0.9,0.9,59.4,1.65
86,IJV,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,6320.0,2,3.9478,12.4145,24.7763,30.6988,59.3683,206.7552,,19.36,24.7232,0.0812,1.05,0.0,59.34,1.65
87,KIE,TRIVE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,508.2,1,3.8641,12.2507,24.9586,30.6431,59.3108,,,19.32,24.7629,0.0361,1.13,1.13,59.3,1.65
88,NVT,NEO PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,Serbest Şemsiye Fonu,412.38,1,3.9156,12.0465,25.1249,31.1501,59.3065,,,19.31,27.1908,0.4833,2.0,2.0,59.31,0.0
89,TEJ,AZİMUT PORTFÖY TEKNOLOJİ FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,603.93,6,5.3381,26.1297,27.3588,29.8611,59.301,,,19.31,2.2668,16.392,2.835,0.0,58.2,
90,OSD,OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,393.79,1,3.8423,12.1436,25.0801,30.8492,59.1392,213.0182,373.9987,19.19,26.1294,0.0,0.74,0.74,59.09,3.65
91,ZBJ,ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,28160.0,1,3.8425,12.4832,24.6195,30.4933,59.0634,210.5144,,19.13,24.7848,0.141,0.49,0.49,59.02,1.6498
92,DL2,DENİZ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,16880.0,1,3.7876,12.2825,24.5621,30.3088,59.0355,,,19.11,22.9314,0.2082,0.49,0.75,59.0,
93,AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,2600.0,1,3.934,12.3166,24.7431,30.6788,59.0301,193.6464,296.8835,19.11,25.6416,0.0,1.0,1.0,59.0,1.65
94,ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,617.02,3,4.2767,14.6402,26.6822,32.3799,58.9631,195.6845,292.2258,19.06,13.9652,0.6069,2.0,2.0,59.21,3.65
95,RPP,ROTA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,7100.0,2,3.8514,12.2996,24.4631,30.3848,58.9241,214.1966,,19.03,24.1523,0.1492,0.9,0.0,58.88,1.65
96,CFO,ROTA PORTFÖY İKİNCİ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,2710.0,2,3.8679,12.4264,24.3624,30.2805,58.917,,,19.02,23.7957,0.2757,0.3,0.0,58.87,
97,ONN,AKTİF PORTFÖY AKTİF ONİKS SERBEST (TL) FON,Serbest Şemsiye Fonu,15290.0,2,4.3056,13.6287,26.9227,32.4464,58.9033,199.0405,316.1292,19.01,24.5646,0.2615,1.31,1.31,58.96,0.0
98,DVT,DENİZ PORTFÖY METAVERSE VE DİJİTAL YAŞAM TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,665.86,6,4.2147,24.7888,20.9655,25.109,58.7139,487.4372,,18.87,2.5515,14.6217,2.0,2.0,57.4,3.65
99,FSF,FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,14170.0,2,3.7978,12.1961,24.8848,30.5291,58.6588,212.8836,334.6515,18.83,25.9927,0.0,1.2,1.2,58.62,0.0
100,PPP,PERFORM PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,4150.0,2,3.7299,12.324,24.3071,30.2025,58.6277,,,18.8,24.8716,0.197,1.0,1.0,58.58,
101,KPP,KARE PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,993.38,1,3.8349,12.3443,24.5016,30.1462,58.603,,,18.79,24.8344,0.0869,1.09,1.09,58.56,
102,IOO,İŞ PORTFÖY İKİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,28310.0,3,3.8256,12.3429,24.435,30.201,58.5574,199.9766,,18.75,25.3995,0.0005,1.05,1.05,58.53,1.65
103,FIL,FİBA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,12990.0,2,3.897,12.5165,24.8387,30.5432,58.5103,206.2807,323.2317,18.72,24.689,0.0267,1.2,1.2,58.49,1.65
104,NZT,NEO PORTFÖY PARA PİYASASI SERBEST FON,Serbest Şemsiye Fonu,5630.0,2,3.8264,12.4572,25.0828,30.6484,58.4917,202.4597,,18.7,26.0248,0.0,2.0,2.0,58.46,3.65
105,IRY,INVEO PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,3050.0,2,3.837,12.151,24.2219,30.0358,58.4888,,,18.7,25.6951,0.0,0.89,0.89,58.43,1.65
106,TCB,TACİRLER PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,2900.0,1,3.8718,12.2572,24.7228,30.4401,58.4775,178.7017,262.2723,18.69,25.7682,0.0,1.25,1.25,58.44,1.65
107,GBN,GARANTİ PORTFÖY BEŞİNCİ (TL) SERBEST FON,Serbest Şemsiye Fonu,414.36,2,3.7298,12.0299,24.7054,30.4064,58.446,212.776,333.8212,18.67,26.0756,0.0,1.5,1.5,58.4,0.0
108,PPZ,AZİMUT PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,15040.0,1,3.7986,12.2565,24.2849,30.1379,58.429,217.2106,,18.66,25.5176,0.0,1.3,0.0,58.41,1.65
109,NVB,NEO PORTFÖY İKİNCİ PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,5670.0,1,3.8889,12.368,24.4014,30.2948,58.4185,,,18.65,26.1581,0.0,1.3,1.3,58.4,1.65
110,PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,Serbest Şemsiye Fonu,808.15,2,3.8293,12.0462,24.5281,30.3055,58.2703,198.609,291.7677,18.54,25.6388,0.0,1.0,1.0,58.18,
111,DGH,ATA PORTFÖY ÜÇÜNCÜ SERBEST (TL) FONU,Serbest Şemsiye Fonu,1290.0,1,3.8657,12.1832,25.274,31.0599,58.2612,208.0875,331.2853,18.53,26.3429,0.0,0.95,0.95,58.23,
112,YTD,YAPI KREDİ PORTFÖY YABANCI FON SEPETİ FONU,Fon Sepeti Şemsiye Fonu,1180.0,6,3.804,23.8782,27.6173,34.7717,58.1974,210.3597,744.9368,18.48,2.0612,18.1701,2.0075,2.0,62.53,4.38
113,AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,250.25,1,3.6611,11.8397,24.8325,30.8465,58.1723,226.5217,365.4021,18.46,27.0907,0.0053,1.4,1.4,58.14,3.65
